Position ID, Axis1, Axis2, Axis3
0,-12897484,0,-8624537
1,-12897484,-20054016,-8624537
2,-12897484,-6265241,-8624537
3,-1389363,-6265241,-8624537
4,-891289,-19346227,-15833497
5,-1389363,-6055526,-15833497
6,-21469593,-6055526,-13820232
7,-21469593,-20211302,-13820232
8,-1551892,-6763315,-7607419
9,-1551892,-18690867,-7607419
10,-1551892,-5557453,-7607419
11,-21527264,-5557453,-188744
12,-21527264,-20185088,-188744
13,-21527264,-4299162,-188744
14,-1614806,-4299162,1357905
15,-1614806,-19529728,1357905
